Data;Precipitazione dalle 9 alle 9 ( mm );Precipitazione dalle 0 alle 0 ( mm );Temperatura media ( °C );Temperatura massima ( °C );Temperatura minima ( °C );Velocita' media ( m/s );Raffica ( m/s );Durata Calma ( min );Settore Prevalente;Tempo Permanenza ( min );
01/01/2022;0.0;0.0;13.1;18.2;8.6;1.7;5.7;10;N;340;
02/01/2022;0.0;0.0;8.7;12.0;6.5;1.6;4.7;60;NNE;260;
03/01/2022;0.0;0.0;6.8;10.5;4.6;1.3;4.6;20;S;240;
04/01/2022;0.0;0.0;5.6;7.2;3.3;1.2;3.9;80;N;370;
05/01/2022;2.8;0.0;6.1;8.9;4.7;2.3;14.5;30;N;580;
06/01/2022;0.0;2.8;4.4;7.7;1.4;2.2;8.6;0;S;270;
07/01/2022;0.0;0.0;2.1;7.1;-0.6;2.2;5.5;10;N;510;
08/01/2022;0.0;0.0;1.4;6.3;-1.3;2.2;8.0;10;NE;250;
09/01/2022;0.0;0.0;2.9;7.6;-0.7;2.5;7.3;10;N;800;
10/01/2022;0.0;0.0;4.2;10.8;-0.2;2.6;7.8;0;N;490;
11/01/2022;0.0;0.0;5.1;11.0;2.3;2.8;6.4;0;N;560;
12/01/2022;0.0;0.0;3.3;8.3;0.5;1.9;6.0;0;SSE;290;
13/01/2022;0.0;0.0;4.3;8.9;1.3;2.3;5.2;0;N;550;
14/01/2022;0.0;0.0;8.5;14.3;4.1;2.0;5.1;0;N;570;
15/01/2022;0.0;0.0;10.4;15.2;7.0;2.2;5.7;0;NNE;280;
16/01/2022;0.0;0.0;7.5;11.1;5.3;2.0;4.5;20;N;450;
17/01/2022;0.0;0.0;10.2;16.0;6.9;2.7;6.1;0;N;620;
18/01/2022;0.0;0.0;8.4;14.3;4.0;2.5;8.1;0;N;420;
19/01/2022;0.0;0.0;4.0;6.9;2.8;2.2;5.9;20;N;430;
20/01/2022;0.0;0.0;5.5;9.5;1.3;2.5;8.2;0;NNE;270;
21/01/2022;0.0;0.0;4.2;10.3;0.0;2.8;8.3;0;N;530;
22/01/2022;0.0;0.0;6.0;11.6;-1.9;2.2;5.6;0;N;580;
23/01/2022;0.0;0.0;4.2;9.9;1.5;2.5;7.4;0;NE;240;
24/01/2022;0.0;0.0;3.1;8.8;-1.1;2.0;5.8;0;SSE;200;
25/01/2022;0.0;0.0;1.3;5.7;-0.7;1.9;4.6;40;N;380;
26/01/2022;0.0;0.0;4.1;8.4;0.3;1.4;5.3;50;N;150;
27/01/2022;0.0;0.0;5.7;10.3;2.4;1.3;5.1;20;N;310;
28/01/2022;0.0;0.0;9.8;16.7;4.5;2.5;9.1;0;N;270;
29/01/2022;0.0;0.0;7.4;12.0;4.0;2.4;6.5;0;NE;270;
30/01/2022;0.0;0.0;11.7;18.0;6.0;2.2;5.7;10;N;340;
31/01/2022;0.0;0.0;5.9;11.3;1.5;2.5;12.1;30;NE;260;
01/02/2022;0.0;0.0;7.6;12.5;3.3;2.7;7.3;0;N;380;
02/02/2022;0.0;0.0;12.0;18.7;7.8;3.0;7.7;0;N;270;
03/02/2022;0.0;0.0;9.5;13.7;5.1;2.4;6.8;0;N;390;
04/02/2022;0.0;0.0;6.7;12.2;4.2;2.3;6.0;0;N;430;
05/02/2022;0.0;0.0;7.1;12.8;4.0;1.9;5.1;0;S;250;
06/02/2022;0.0;0.0;5.1;8.4;3.5;1.9;5.1;10;N;330;
07/02/2022;0.0;0.0;8.1;12.3;4.0;2.3;14.1;0;NE;310;
08/02/2022;0.0;0.0;8.5;13.5;4.9;2.2;6.0;20;NNW;240;
09/02/2022;0.0;0.0;8.7;14.5;5.4;2.4;5.8;0;N;380;
10/02/2022;0.0;0.0;7.6;13.1;5.1;2.4;6.4;20;N;700;
11/02/2022;0.0;0.0;8.5;14.7;5.3;2.2;10.2;30;N;610;
12/02/2022;0.0;0.0;4.5;7.6;2.6;2.4;6.4;10;N;660;
13/02/2022;0.0;0.0;4.0;9.5;0.8;2.4;5.7;0;N;670;
14/02/2022;0.0;0.0;1.7;4.9;-0.2;1.5;4.7;100;;;
15/02/2022;0.0;0.0;3.0;7.5;-0.3;1.7;5.3;110;N;430;
16/02/2022;10.0;10.0;5.6;10.4;2.0;2.4;5.0;10;N;380;
17/02/2022;0.0;0.0;10.0;16.0;4.1;1.7;5.6;20;N;300;
18/02/2022;0.0;0.0;6.8;13.7;2.7;1.6;5.6;40;N;360;
19/02/2022;0.4;0.4;8.3;13.3;5.2;2.0;5.3;0;N;280;
20/02/2022;0.0;0.0;9.7;15.5;5.4;2.0;5.9;0;S;230;
21/02/2022;0.0;0.0;8.9;13.3;5.7;2.8;12.3;0;N;360;
22/02/2022;0.0;0.0;10.0;16.1;5.1;2.8;6.5;0;N;630;
23/02/2022;0.0;0.0;11.2;17.3;7.4;2.7;6.4;20;N;430;
24/02/2022;0.0;0.0;8.3;12.5;5.7;1.9;5.4;20;N;490;
25/02/2022;0.0;0.0;8.3;17.0;4.5;2.2;13.9;10;N;440;
26/02/2022;0.0;0.0;7.6;15.1;2.1;2.3;9.2;10;N;340;
27/02/2022;0.0;0.0;5.2;10.9;1.6;2.5;7.3;0;N;580;
28/02/2022;0.0;0.0;6.1;12.3;2.3;2.4;9.4;0;N;400;
01/03/2022;0.0;0.0;3.6;9.6;0.7;2.1;7.8;0;NNW;310;
02/03/2022;0.0;0.0;5.4;11.3;1.3;2.2;5.9;20;N;440;
03/03/2022;0.0;0.0;7.5;13.6;3.7;2.3;6.3;0;SSE;460;
04/03/2022;0.0;0.0;6.6;11.5;3.4;2.6;6.3;10;SE;340;
05/03/2022;0.0;0.0;4.3;8.1;1.9;2.0;6.2;0;SSE;310;
06/03/2022;0.0;0.0;3.7;9.2;1.0;2.1;6.6;10;S;350;
07/03/2022;0.0;0.0;3.9;9.5;-0.2;2.1;6.2;0;N;400;
08/03/2022;0.0;0.0;2.6;6.4;0.6;1.8;6.6;10;NE;190;
09/03/2022;0.0;0.0;5.3;12.1;0.3;1.8;5.8;20;SSE;370;
10/03/2022;0.0;0.0;7.8;14.2;3.4;2.2;6.6;10;NNE;380;
11/03/2022;0.0;0.0;5.7;8.1;3.7;1.9;7.1;20;NNE;270;
12/03/2022;0.0;0.0;4.2;6.9;2.6;1.5;4.9;20;N;280;
13/03/2022;0.0;0.0;4.9;8.2;1.4;1.9;6.3;0;S;280;
14/03/2022;0.0;0.0;6.7;12.5;3.0;2.0;6.6;10;N;510;
15/03/2022;1.4;0.4;7.4;10.6;5.3;1.4;3.9;80;N;660;
16/03/2022;0.0;1.0;9.5;14.4;5.8;2.0;7.3;30;S;400;
17/03/2022;0.6;0.0;8.8;11.0;6.9;1.5;5.7;70;N;320;
18/03/2022;0.0;0.6;9.9;12.2;8.3;1.9;6.0;0;SE;460;
19/03/2022;0.0;0.0;8.7;14.3;5.1;2.6;7.7;0;SE;520;
20/03/2022;0.0;0.0;8.0;14.3;4.2;2.5;7.7;0;SE;320;
21/03/2022;0.0;0.0;8.1;13.7;4.8;2.2;7.5;0;NNE;270;
22/03/2022;0.0;0.0;9.1;15.9;4.2;2.6;6.6;10;N;450;
23/03/2022;0.0;0.0;12.1;19.1;6.0;2.7;6.6;0;N;560;
24/03/2022;0.0;0.0;14.8;21.7;9.6;2.4;8.6;20;SSE;390;
25/03/2022;0.0;0.0;14.2;20.9;9.8;2.7;7.5;0;N;480;
26/03/2022;0.0;0.0;14.5;21.5;9.6;2.9;7.6;0;N;700;
27/03/2022;0.0;0.0;14.7;20.6;10.9;2.8;6.8;0;N;630;
28/03/2022;0.0;0.0;15.1;22.1;10.8;2.8;7.6;10;N;650;
29/03/2022;0.0;0.0;12.5;18.4;8.6;2.7;7.4;0;SE;360;
30/03/2022;4.0;0.0;7.7;9.5;6.1;1.9;5.5;0;N;610;
31/03/2022;5.4;8.6;9.3;13.6;6.3;1.7;6.5;20;N;270;
01/04/2022;0.0;0.8;7.8;15.7;4.0;3.4;12.3;0;N;470;
02/04/2022;3.8;3.8;5.0;7.7;2.7;2.2;8.6;0;N;480;
03/04/2022;0.2;0.2;5.6;12.9;2.4;2.1;7.6;50;SE;370;
04/04/2022;0.2;0.2;6.1;12.2;3.2;1.7;6.0;70;SE;140;
05/04/2022;0.0;0.0;10.2;16.9;4.2;2.4;7.2;0;N;380;
06/04/2022;0.0;0.0;11.1;17.6;7.1;2.6;7.5;0;SSE;390;
07/04/2022;0.0;0.0;12.7;20.0;7.7;2.4;7.1;10;N;370;
08/04/2022;0.0;0.0;14.7;21.1;9.8;2.5;8.8;10;SE;400;
09/04/2022;0.0;0.0;11.2;15.4;3.6;4.8;18.5;10;N;950;
10/04/2022;0.0;0.0;9.2;16.7;1.7;2.7;9.0;0;S;520;
11/04/2022;0.0;0.0;11.0;17.7;6.2;2.4;7.6;10;SSE;450;
12/04/2022;0.0;0.0;13.0;19.3;7.7;2.5;7.5;0;SE;420;
13/04/2022;0.0;0.0;14.5;21.3;9.5;2.5;7.5;0;SE;570;
14/04/2022;0.0;0.0;16.8;24.3;10.9;2.4;7.8;20;N;500;
15/04/2022;0.0;0.0;18.6;25.8;13.6;2.3;6.3;0;SSE;320;
16/04/2022;0.0;0.0;17.8;25.4;12.1;3.0;12.5;0;N;350;
17/04/2022;0.0;0.0;11.9;18.2;8.4;2.8;8.6;0;SE;560;
18/04/2022;0.0;0.0;12.1;19.1;6.6;2.5;7.5;10;SSE;320;
19/04/2022;0.0;0.0;13.0;20.5;7.4;2.6;7.8;0;S;410;
20/04/2022;0.2;0.0;;;;;;;;;
21/04/2022;;;;;;;;;;;
22/04/2022;0.0;;11.7;17.5;8.0;2.8;10.5;20;SE;380;
23/04/2022;16.0;0.0;8.9;10.2;7.5;3.2;12.4;0;NNE;320;
24/04/2022;23.4;39.4;9.7;13.8;7.0;1.9;8.9;10;N;370;
25/04/2022;0.0;0.0;12.5;19.0;8.2;2.5;8.0;0;N;510;
26/04/2022;0.0;0.0;12.2;17.2;9.8;1.7;7.7;60;SE;300;
